Providers number;Extern attribute;Global strings number;Dex number;Intern attribute;Argument Type number;Balise number;Call number;Special strings number;Custom Argument;Affectation number;Number of sginature permission;Number of Dangerous permission;Average size of class;Services number;Android API;Receivers Numbers;Unicode number;URL Number;Weighted Method per class;Reponse for class;Class number;Permission number;Other Permission number;Number of child;Other Type String Number;SystemArgs;Type;Index
0;83;1127;1;16;176;2;0;2;0;29;0;3;223;2;0;1;0;2;12,545;25,09;0;25;22;0,105;0;0;Malware;118
0;83;394;1;16;76;2;0;0;0;39;0;4;4;1;0;2;0;1;12,44827586;24,89655172;0;8;4;0,054187192;0;0;Malware;119
0;83;2181;1;16;815;5;0;0;0;72;0;6;101;2;0;6;0;43;11,69512195;23,3902439;0;19;13;0,386178862;0;0;Malware;120
0;83;706;1;16;99;2;0;0;0;9;0;2;103;1;0;0;0;0;11,65863454;23,31726908;0;24;22;0,040160643;0;0;Malware;121
0;83;9668;1;16;1533;23;13;8;0;215;0;3;234;1;2;0;0;77;12,23239437;24,46478873;61;7;4;0,823943662;0;0;Malware;122
0;83;9607;1;16;1476;23;13;8;0;234;0;3;234;1;2;0;0;80;12,23239437;24,46478873;61;6;3;0,813380282;0;0;Malware;123
0;83;123;1;16;11;2;0;0;0;0;0;0;0;0;0;0;0;1;12,23239437;24,46478873;0;2;2;0,007042254;0;0;Malware;124
0;83;4190;1;16;600;2;12;0;0;109;0;1;170;1;0;3;0;1;12,8164557;25,63291139;0;3;2;0,10443038;0;0;Malware;125
0;83;584;1;16;119;2;0;0;0;0;0;4;79;0;0;0;0;0;12,8164557;25,63291139;0;5;1;0,018987342;0;0;Malware;126
0;83;4423;1;16;786;2;3;6;100;42;1;5;71;3;2;5;0;12;28,36082474;56,72164948;0;16;10;0,494845361;0;0;Malware;127
1;87;15966;1;12;6573;13;19;6;0;594;1;8;72;9;0;7;8;37;24,86912752;49,73825503;27;30;21;5,929530201;0;0;Malware;128
0;83;5950;1;16;356;6;12;7;0;125;2;3;8;6;0;6;7;17;12,8820059;25,7640118;0;17;12;0,061946903;0;0;Malware;129
3;83;23565;2;16;11822;26;28;8;100;795;4;6;7;29;0;9;8;83;27,50310559;55,00621118;27;35;25;7,372670807;0;0;Malware;130
0;86;8453;1;13;1070;3;14;6;0;1068;1;9;4;10;0;3;0;60;24,78929766;49,57859532;263;26;16;1,996655518;0;0;Malware;131
0;83;5527;1;16;1768;3;2;1;0;540;3;10;8;5;0;3;0;10;13,03626943;26,07253886;282;60;47;0,450777202;0;0;Malware;132
0;83;9477;1;16;2566;4;18;2;0;173;4;8;164;3;0;3;0;21;13,74340528;27,48681055;0;35;23;1,287769784;0;0;Malware;133
0;83;4375;1;16;1876;33;5;3;0;97;2;3;114;1;0;1;0;18;14,78310502;29,56621005;0;56;51;0,226027397;0;0;Malware;134
37;82;2054;3;17;7711;3;0;0;100;45;7;19;16;71;0;18;0;0;27,04398827;54,08797654;0;144;118;2,410557185;0;0;Malware;135
3;84;33594;1;16;12834;6;55;12;0;773;2;6;27;6;0;11;9;162;14,78980892;29,57961783;0;27;19;1,524416136;0;0;Malware;136
0;83;8477;1;16;1073;3;14;6;100;1076;1;9;8;10;0;4;0;59;25,53213368;51,06426735;263;26;16;1,228791774;0;0;Malware;137
0;83;25070;2;16;8278;23;65;5;100;976;2;11;28;8;0;5;0;155;24,73508353;49,47016706;277;32;19;4,563245823;0;0;Malware;138
0;83;8477;1;16;1073;3;14;6;100;1076;1;9;8;10;0;4;0;59;24,73508353;49,47016706;263;26;16;1,140811456;0;0;Malware;139
0;83;4967;1;16;948;2;13;0;0;112;1;3;193;2;0;0;0;0;14,96624473;29,93248945;0;4;0;0,156118143;0;0;Malware;140
0;83;5322;1;16;847;6;13;1;0;124;0;2;165;0;2;1;0;8;14,78674948;29,57349896;0;5;3;0,169772257;0;0;Malware;141
0;89;4387;1;10;349;6;8;3;0;94;1;2;4;5;0;4;0;16;14,69877049;29,39754098;0;13;10;0,049180328;0;0;Malware;142
0;83;35768;1;16;7896;7;31;7;0;648;1;3;27;2;0;3;0;61;16,08966862;32,17933723;1;12;8;1,16374269;0;0;Malware;143
0;83;8538;1;16;1553;8;16;1;0;149;0;5;0;1;0;0;0;13;16,08966862;32,17933723;0;9;4;0,55165692;0;0;Malware;144
0;83;1281;1;16;82;5;0;0;0;27;1;4;404;1;0;1;0;6;15,98686679;31,97373358;0;9;4;0,013133208;0;0;Malware;145
0;83;8477;1;16;1073;3;14;6;100;1076;1;9;8;10;0;4;0;59;24,73508353;49,47016706;263;26;16;1,140811456;0;0;Malware;146
37;83;2164;3;17;7857;3;0;0;100;46;7;19;15;72;0;18;0;1;24,66745843;49,33491686;0;145;119;1,964370546;0;0;Malware;147
3;82;23539;2;17;11817;26;28;8;100;795;4;6;7;29;0;9;8;62;24,66745843;49,33491686;27;35;25;5,634204276;0;0;Malware;148
3;83;9168;2;16;20127;4;20;3;100;202;3;6;19;17;1;14;0;130;24,37831858;48,75663717;33;26;17;4,716814159;0;0;Malware;149
0;83;125;1;16;710;2;0;0;0;0;2;4;120;9;0;9;0;0;15,9906367;31,98127341;0;18;12;0,191011236;0;0;Malware;150
0;83;8975;1;16;1538;3;51;9;0;374;1;9;10;9;22;5;1;74;25,03726708;50,07453416;8;22;12;0;0;0;Malware;151
0;83;41084;2;16;10401;37;40;10;100;479;0;3;30;4;0;3;7;62;24,69230769;49,38461538;0;11;8;2,517094017;0;0;Malware;152
0;82;20924;1;17;5810;9;68;7;100;994;0;6;29;4;0;3;0;124;25,306;50,612;135;18;12;2,4;0;0;Malware;153
0;83;1052;1;16;127;2;0;2;0;15;0;0;126;0;0;0;0;3;15,87912088;31,75824176;0;1;1;0,021978022;0;0;Malware;154
0;83;8071;1;16;2122;2;0;0;0;42;0;1;71;0;0;0;0;10;16,31327434;32,62654867;0;5;4;1,507964602;0;0;Malware;155
0;83;27201;1;16;2959;27;33;10;0;770;3;9;0;11;0;12;7;61;16,31327434;32,62654867;2;30;18;1,300884956;0;0;Malware;156
0;83;5027;1;16;1342;3;2;1;100;531;3;10;8;5;0;3;0;11;24,70621469;49,41242938;310;61;48;0,689265537;0;0;Malware;157
0;83;8477;1;16;1073;3;14;6;100;1076;1;9;8;10;0;4;0;59;24,70998117;49,41996234;263;26;16;0,900188324;0;0;Malware;158
0;83;11344;1;16;2222;2;16;2;100;140;1;6;97;1;0;2;0;8;24,70512821;49,41025641;0;15;8;0,456043956;0;0;Malware;159
0;82;8477;1;17;1073;3;14;6;100;1076;1;9;8;10;0;4;0;59;24,70512821;49,41025641;263;26;16;0,875457875;0;0;Malware;160
3;83;23529;2;16;11822;26;28;8;100;795;4;6;8;29;0;9;8;62;24,66240876;49,32481752;27;35;25;4,328467153;0;0;Malware;161
0;83;17996;2;16;6371;4;22;5;100;517;0;4;123;2;0;1;0;44;24,88020833;49,76041667;5;8;4;1,171875;0;0;Malware;162
0;83;73;1;16;205;2;0;0;0;0;0;3;120;0;0;0;0;0;16,2920354;32,5840708;0;6;3;0,051327434;0;0;Malware;163
2;83;250;1;16;2436;2;0;0;0;0;5;9;58;13;0;5;0;0;16,25483304;32,50966608;0;40;26;0,509666081;0;0;Malware;164
3;86;6453;1;13;1470;3;12;2;0;195;1;3;152;3;1;4;0;3;23,69254658;47,38509317;0;9;5;2,416149068;0;0;Malware;165
1;83;245;2;16;385;2;0;0;100;0;1;3;58;8;0;1;0;0;24,78965517;49,57931034;0;11;7;0,148275862;0;0;Malware;166
0;83;18690;1;16;6465;13;27;7;0;320;2;5;14;6;0;3;1;56;33,95652174;67,91304348;262;26;19;0;0;0;Malware;167
0;83;5299;1;16;846;6;12;1;0;121;0;2;136;0;2;0;0;7;23,36507937;46,73015873;0;5;3;0;0;0;Malware;168
0;83;9253;1;16;2154;5;11;7;100;185;0;2;105;1;1;0;1;60;24,39285714;48,78571429;0;8;6;0,584415584;0;0;Malware;169
2;83;21071;1;16;10804;4;87;2;0;361;4;4;29;16;0;8;0;142;23,13333333;46,26666667;178;75;67;0;0;0;Malware;170
0;87;8477;1;12;1073;3;14;6;0;1076;1;9;4;10;0;4;0;59;23,62229102;47,24458204;263;26;16;1,845201238;0;0;Malware;171
2;82;44455;2;17;11718;43;97;21;100;772;1;5;12;5;0;6;7;159;24,39811912;48,79623824;0;21;15;4,778996865;0;0;Malware;172
0;83;23632;1;16;15252;11;53;4;0;847;0;6;54;6;0;1;1;89;20,02307692;40,04615385;0;16;10;0;0;0;Malware;173
0;83;6146;1;16;1476;21;6;5;0;131;0;3;116;3;0;3;0;84;19,23952096;38,47904192;196;12;9;0;0;0;Malware;174
0;83;37911;1;16;10668;64;75;4;100;1242;1;9;0;5;1;3;7;328;24,39811912;48,79623824;2;32;22;6,794670846;0;0;Malware;175
0;83;8477;1;16;1073;3;14;6;100;1076;1;9;8;10;0;4;0;59;14,79166667;29,58333333;263;26;16;0;0;0;Malware;176
0;87;5943;1;12;357;6;12;7;0;120;2;3;9;6;0;6;7;19;22,9942029;45,9884058;0;17;12;0,828985507;0;0;Malware;177
0;83;19508;1;16;5319;7;20;8;0;666;0;2;80;1;0;0;8;40;21,01546392;42,03092784;1;7;5;0;0;0;Malware;178
0;82;8477;1;17;1073;3;14;6;100;1076;1;9;8;10;0;4;0;59;14,79166667;29,58333333;263;26;16;0;0;0;Malware;179
3;87;23539;1;12;11817;26;28;8;0;795;4;6;7;29;0;9;8;62;22,72727273;45,45454545;27;35;25;7,553475936;0;0;Malware;180
0;87;4823;1;12;486;6;10;6;0;108;1;2;9;6;0;4;0;16;22,53403141;45,06806283;0;13;10;0,612565445;0;0;Malware;181
0;83;123;2;16;44;1;0;0;100;0;2;10;4;15;0;7;0;0;14,73469388;29,46938776;0;38;26;0;0;0;Malware;182
0;83;91;1;16;4;2;0;0;0;0;2;6;120;3;0;4;0;0;20,94358974;41,88717949;0;23;15;0;0;0;Malware;183
0;83;8414;1;16;292;7;22;6;0;238;1;3;243;1;0;2;0;19;21,49519231;42,99038462;0;12;8;0;0;0;Malware;184
